trials.thisRepN,key_resp.keys,key_resp.corr,tilt,Hit,Miss,FA,CR,,,,,,,,,
0,up,0,2,,,1,,,,,,,,,,
1,down,1,-3,,,,1,,,,,,,,,
2,down,1,2,,,,1,,,,,,,,,
3,up,1,0,1,,,,,,,,,,,,
4,up,1,0,1,,,,,,,,,,,Up,Down
5,up,1,0,1,,,,,,,,,,Signal Present (Tilted),Hit,Miss
6,up,0,1,,,1,,,,,,,,Signal Absent (Not tilted),FA,CR
7,up,1,0,1,,,,,,,,,,,,
8,up,1,0,1,,,,,,,,,,Proportion Hit,0.954545455,
9,down,1,-4,,,,1,,,,,,,Proportion False Alarm,0.192982456,
10,up,1,0,1,,,,,,,,,,,,
11,down,0,0,,1,,,,,,,,,D',2.557579831,
12,up,0,-3,,,1,,,,,,,,Criteria,-0.411831714,Liberal Bias
13,up,1,0,1,,,,,,,,,,,,
14,up,1,0,1,,,,,,,,,,,,
15,down,1,-5,,,,1,,,,,,,,,
16,up,0,2,,,1,,,,,,,,,,
17,up,1,0,1,,,,,,,,,,,,
18,down,1,-2,,,,1,,,,,,,,,
19,up,1,0,1,,,,,,,,,,,,
20,up,1,0,1,,,,,,,,,,,,
21,up,1,0,1,,,,,,,,,,,,
22,up,1,0,1,,,,,,,,,,,,
23,up,0,1,,,1,,,,,,,,,,
24,down,1,-2,,,,1,,,,,,,,,
25,down,1,-4,,,,1,,,,,,,,,
26,down,1,3,,,,1,,,,,,,,,
27,down,1,-5,,,,1,,,,,,,,,
28,down,0,0,,1,,,,,,,,,,,
29,up,0,-4,,,1,,,,,,,,,,
30,up,0,1,,,1,,,,,,,,,,
31,down,1,-4,,,,1,,,,,,,,,
32,down,1,4,,,,1,,,,,,,,,
33,down,1,2,,,,1,,,,,,,,,
34,down,1,-4,,,,1,,,,,,,,,
35,up,1,0,1,,,,,,,,,,,,
36,down,1,1,,,,1,,,,,,,,,
37,down,1,-5,,,,1,,,,,,,,,
38,down,1,2,,,,1,,,,,,,,,
39,down,1,-5,,,,1,,,,,,,,,
40,up,1,0,1,,,,,,,,,,,,
41,up,1,0,1,,,,,,,,,,,,
42,up,1,0,1,,,,,,,,,,,,
43,up,1,0,1,,,,,,,,,,,,
44,up,1,0,1,,,,,,,,,,,,
45,down,1,-4,,,,1,,,,,,,,,
46,up,0,3,,,1,,,,,,,,,,
47,down,1,2,,,,1,,,,,,,,,
48,up,1,0,1,,,,,,,,,,,,
49,up,1,0,1,,,,,,,,,,,,
50,up,1,0,1,,,,,,,,,,,,
51,down,1,-3,,,,1,,,,,,,,,
52,down,1,1,,,,1,,,,,,,,,
53,down,1,-3,,,,1,,,,,,,,,
54,up,1,0,1,,,,,,,,,,,,
55,up,1,0,1,,,,,,,,,,,,
56,down,1,-4,,,,1,,,,,,,,,
57,down,1,4,,,,1,,,,,,,,,
58,up,1,0,1,,,,,,,,,,,,
59,up,1,0,1,,,,,,,,,,,,
60,up,1,0,1,,,,,,,,,,,,
61,down,1,3,,,,1,,,,,,,,,
62,up,1,0,1,,,,,,,,,,,,
63,up,1,0,1,,,,,,,,,,,,
64,up,1,0,1,,,,,,,,,,,,
65,up,1,0,1,,,,,,,,,,,,
66,down,1,-3,,,,1,,,,,,,,,
67,up,1,0,1,,,,,,,,,,,,
68,up,1,0,1,,,,,,,,,,,,
69,down,1,4,,,,1,,,,,,,,,
70,up,1,0,1,,,,,,,,,,,,
71,up,1,0,1,,,,,,,,,,,,
72,down,1,-2,,,,1,,,,,,,,,
73,up,1,0,1,,,,,,,,,,,,
74,down,1,3,,,,1,,,,,,,,,
75,down,1,3,,,,1,,,,,,,,,
76,down,1,-5,,,,1,,,,,,,,,
77,down,1,-5,,,,1,,,,,,,,,
78,up,1,0,1,,,,,,,,,,,,
79,up,1,0,1,,,,,,,,,,,,
80,up,1,0,1,,,,,,,,,,,,
81,down,1,4,,,,1,,,,,,,,,
82,down,1,-5,,,,1,,,,,,,,,
83,down,1,3,,,,1,,,,,,,,,
84,up,0,1,,,1,,,,,,,,,,
85,down,1,-3,,,,1,,,,,,,,,
86,down,1,3,,,,1,,,,,,,,,
87,down,1,-5,,,,1,,,,,,,,,
88,down,1,-3,,,,1,,,,,,,,,
89,up,1,0,1,,1,,,,,,,,,,
90,down,1,3,,,,1,,,,,,,,,
91,down,1,-4,,,,1,,,,,,,,,
92,up,0,2,,,1,,,,,,,,,,
93,down,1,1,,,,1,,,,,,,,,
94,down,1,4,,,,1,,,,,,,,,
95,up,1,0,1,,,,,,,,,,,,
96,down,1,-3,,,,1,,,,,,,,,
97,down,1,-4,,,,1,,,,,,,,,
98,up,1,0,1,,,,,,,,,,,,
99,down,1,-3,,,,1,,,,,,,,,
,,,,42,2,11,46,,,,,,,,,
